City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Aachen,2.05,6.88,4.26,1.33,767.23,1619.72,81.64,60.55,73.25,11.69,90.52,15.34
Aberdeen,1.99,6.98,5.98,1.37,1195.74,1743.78,81.89,49.7,82.86,34.31,76.77,24.22
Abu Dhabi,2.67,6.23,13.73,0.3,1779.93,2135.92,86.4,68.03,48.02,53.42,80.8,10.86
Addis Ababa,0.46,2.29,4.18,0.72,653.77,124.22,59.88,6.38,63.89,85.59,28.41,26.04
Adelaide,2.49,11.42,10.08,0.95,1382.26,2911.69,87.29,72.03,56.25,12.01,91.54,41.32
Ahmedabad,0.72,2.11,4.22,0.85,193.08,301.69,76.16,33.69,61.67,68.21,57.01,18.18
Alicante,1.28,6.01,4.03,1.19,511.49,852.48,82.83,44.69,75.61,28.19,72.53,44.01
Amman,2.55,6.54,12.79,0.83,460.92,441.94,74.4,21.22,75.37,61.63,39.57,46.74
Amsterdam,2.09,8.52,4.26,1.45,1513.16,1747.59,84,47.18,68.06,53.42,72.85,29.76
Antalya,1.81,3.26,5.44,1.62,217.45,362.42,71.91,22.91,59.55,30.55,40.51,44.53
Asheville,1.8,5.88,7.85,0.64,1225.82,1898.54,83.17,70.51,79.02,30.55,81.34,30.21
Athens,2.98,6.82,5.97,1.45,468.87,681.99,76.78,26.05,46.11,27.44,30.57,57.49
Atlanta,2.21,6.37,6.53,0.61,1046.03,2288.19,84.92,80.83,61.11,63.09,80.51,56.04
Auckland,2.2,8.82,8.27,1.18,1432.98,2149.47,86.43,49.02,71.85,30.03,66.98,50.38
Austin,2.29,5.56,7.85,0.61,1372.91,2105.14,84.86,69.22,73.61,28.84,86.51,42.5
Baku,2.53,5.48,7.59,0.51,1278.72,340.99,66.42,11.38,28.7,49.47,17.2,36.69
Baltimore,2.12,6.54,8.17,0.65,1372.91,2284.92,84.28,78.78,72.08,77.98,82,58.85
Bangalore,0.72,3.02,4.83,0.91,362.03,422.37,77.92,38.67,69.38,80.94,52.11,51.03
Bangkok,1.37,4.1,13.68,0.91,1139.76,455.91,74.21,20.82,95.96,60.39,37.54,36.1
Barcelona,1.32,6.82,4.26,1.24,937.73,1193.48,83.37,45.68,58.47,71.75,47.18,41.47
Basel,3.5,11.89,7.35,1.25,1649.29,3847.76,84.2,78.17,79.74,59.18,88.27,28.12
Beijing,2.64,8.46,10.36,0.86,1586.25,600.13,74.17,22.97,58.9,57.18,25.69,47.61
Belfast,2.19,5.98,6.22,1.39,807.12,1494.67,82.15,52.8,33.33,29.24,80.55,34.06
Belgrade,1.1,2.98,3.02,1.17,426.24,359.9,71.65,21.46,52.53,77.08,35.69,37.97
Belo Horizonte,1.38,5.69,8.13,0.9,764.05,455.69,71.79,21.77,57.26,59.73,36.26,50.99
Bergen,3.92,12.32,12.32,1.57,1725.37,3002.59,80.74,51.24,84.95,18.4,83.76,16.67
Berlin,1.88,6.82,3.84,1.36,916.42,1772.57,89.54,68.72,65.48,16.05,91.17,24.18
Birmingham,2.29,6.98,4.98,1.37,996.45,1554.46,80.85,46.41,75.23,66.53,75.4,47.51
Bogota,1.25,4.27,7.48,0.8,426.95,326.88,70.6,14.52,73.89,14.54,29.33,46.02
Boston,2.62,7.85,7.85,0.65,2288.19,2451.63,82.2,59.28,78.04,61.77,82.81,40.69
Braga,1.02,4.48,2.13,1.39,383.62,596.74,75.07,30.21,69.71,14.54,69.91,18.12
Bratislava,1.45,5.11,4.26,1.28,852.48,681.99,74.76,29.29,59.72,30.55,56.18,34.38
Brighton,2.49,14.95,4.97,1.37,1295.38,1594.31,80.61,50.56,58.33,50.25,62.62,33.12
Brisbane,2.69,10.08,10.08,0.99,2351.93,2603.92,87.63,53.72,88.89,22.19,77.07,45.84
Bristol,2.49,8.22,6.98,1.36,1619.23,1507.13,79.66,39.76,88.89,36.22,67.91,42.71
Brussels,2.13,7.67,5.11,1.36,1193.48,1875.46,84.8,54.41,81.35,6.79,65.42,53.79
Bucharest,1.37,4.89,2.94,1.17,508.98,383.17,72.28,22.85,52.05,74.57,29.45,33.41
Budapest,1,4.27,2.85,1.2,341.97,414.64,74.13,24.59,60.42,68.38,46.58,34.18
Buenos Aires,2.08,5.48,3.94,0.89,590.75,657.33,77.29,29.29,79.17,47.26,39.78,59.46
Cairo,1.42,3.27,7.33,0.19,425.85,163.44,67.93,11.9,56.48,86.16,17.25,48.81
Calgary,2.55,8.29,9.56,0.74,1115.65,2231.29,85.77,63.9,75.33,23.53,87.57,29.53
Cambridge,1.99,8.22,7.97,1.39,1345.2,2730.26,82.15,54.76,81.48,57.18,70.61,24.22
Canberra,2.35,11.42,10.08,0.99,1984.74,3023.91,83.23,63.26,91.9,11.48,93.05,40.36
Cape Town,1.27,3.18,3.53,0.82,811.48,1199.58,87.95,60.36,71.67,75.98,78.73,68.06
Caracas,1.8,9.12,11.97,0.07,1634.42,527.89,65.18,11.25,44.44,83.45,8.61,85.7
Casablanca,1.7,3.94,3.45,0.85,997.08,230.09,68.27,13.2,53.7,62.97,48.69,38.28
Cebu,1.43,2.85,3.48,0.88,475.01,200.28,66.93,12.9,73.7,35.9,41.21,46.88
Charlotte,2.15,5.23,7.19,0.6,915.28,2073.1,84.46,77.18,72.08,67.05,84.39,30.21
Chennai,0.66,1.81,4.83,0.87,301.69,301.69,78.12,32.91,67.49,78.07,43.89,33.22
